Res: 1.210602 beta: 0.468611 | gamma1: 0.113199 | gamma2: 0.050156 | mortality: 0.009990 | darkFigure: 5.000000 | startDate: 737841.960360 | majorEvents: 0.786774 | schoolClosing: 0.100000 | contactRestrictions: 1.000000 | 
Res: 0.012080 beta: 0.415314 | gamma1: 0.148226 | gamma2: 0.093530 | mortality: 0.008252 | darkFigure: 5.000000 | startDate: 737836.251722 | majorEvents: 0.768828 | schoolClosing: 0.645148 | contactRestrictions: 0.720579 | 
Res: 0.012361 beta: 0.434419 | gamma1: 0.178559 | gamma2: 0.120239 | mortality: 0.007122 | darkFigure: 5.541375 | startDate: 737836.000000 | majorEvents: 0.887337 | schoolClosing: 0.592762 | contactRestrictions: 0.797229 | 
Res: 0.130315 beta: 0.500000 | gamma1: 0.162825 | gamma2: 0.075461 | mortality: 0.008685 | darkFigure: 5.000000 | startDate: 737842.032377 | majorEvents: 0.713768 | schoolClosing: 0.701622 | contactRestrictions: 0.713328 | 
Res: 0.082919 beta: 0.490926 | gamma1: 0.194026 | gamma2: 0.089745 | mortality: 0.006405 | darkFigure: 6.433345 | startDate: 737836.488291 | majorEvents: 0.559761 | schoolClosing: 0.926462 | contactRestrictions: 0.834875 | 
Res: 0.030779 beta: 0.392549 | gamma1: 0.026627 | gamma2: 0.017586 | mortality: 0.008733 | darkFigure: 10.000000 | startDate: 737836.352505 | majorEvents: 0.402849 | schoolClosing: 0.112387 | contactRestrictions: 0.100000 | 
Res: 0.012846 beta: 0.460365 | gamma1: 0.192340 | gamma2: 0.077985 | mortality: 0.007877 | darkFigure: 5.461224 | startDate: 737836.387986 | majorEvents: 0.794143 | schoolClosing: 0.712254 | contactRestrictions: 0.765733 | 
Res: 0.031676 beta: 0.500000 | gamma1: 0.214107 | gamma2: 0.050328 | mortality: 0.007567 | darkFigure: 6.594926 | startDate: 737836.505158 | majorEvents: 0.653300 | schoolClosing: 0.896300 | contactRestrictions: 0.763173 | 
Res: 0.012719 beta: 0.500000 | gamma1: 0.232973 | gamma2: 0.044509 | mortality: 0.006617 | darkFigure: 7.912278 | startDate: 737836.000000 | majorEvents: 0.773788 | schoolClosing: 0.766498 | contactRestrictions: 0.788397 | 
Res: 0.017484 beta: 0.420406 | gamma1: 0.166115 | gamma2: 0.102664 | mortality: 0.008089 | darkFigure: 5.002037 | startDate: 737836.013122 | majorEvents: 0.880325 | schoolClosing: 0.646502 | contactRestrictions: 0.700937 | 
Res: 0.010719 beta: 0.500000 | gamma1: 0.235319 | gamma2: 0.015741 | mortality: 0.009612 | darkFigure: 10.000000 | startDate: 737836.000000 | majorEvents: 0.826276 | schoolClosing: 0.659207 | contactRestrictions: 0.840719 | 
