Infiziertenzahlen (RKI, nach Erkrankungsdatum, Stand 20.05.2020);;;
AGS;11.04.2020;25.04.2020;Landkreis/kreisfreie Stadt - Name
07339;2;0;Mainz-Bingen
07340;4;0;SÅdwestpfalz
08111;8;10;Stuttgart, Stadtkreis
08115;32;3;Bîblingen
08116;23;9;Esslingen
08117;5;4;Gîppingen
08118;23;4;Ludwigsburg
08119;18;35;Rems-Murr-Kreis
08121;10;1;Heilbronn, Stadtkreis
08125;6;2;Heilbronn
08126;9;2;Hohenlohekreis
08127;12;2;SchwÑbisch Hall
08128;12;2;Main-Tauber-Kreis
08135;24;2;Heidenheim
08136;156;18;Ostalbkreis
08211;1;0;Baden-Baden, Stadtkreis
08212;3;1;Karlsruhe, Stadtkreis
08215;8;0;Karlsruhe
08216;8;5;Rastatt
08221;0;5;Heidelberg, Stadtkreis
08222;4;4;Mannheim, Stadtkreis
08225;4;2;Neckar-Odenwald-Kreis
08226;3;0;Rhein-Neckar-Kreis
08231;5;4;Pforzheim, Stadtkreis
08235;33;3;Calw
08236;29;17;Enzkreis
08237;18;1;Freudenstadt
08311;13;2;Freiburg im Breisgau, Stadtkreis
08315;12;5;Breisgau-Hochschwarzwald
08316;4;0;Emmendingen
08317;8;10;Ortenaukreis
08325;8;4;Rottweil
08326;15;3;Schwarzwald-Baar-Kreis
08327;3;33;Tuttlingen
08335;7;3;Konstanz
08336;8;10;Lîrrach
08337;5;3;Waldshut
08415;52;26;Reutlingen
08416;7;1;TÅbingen
08417;21;17;Zollernalbkreis
08421;0;3;Ulm, Stadtkreis
08425;3;4;Alb-Donau-Kreis
08426;8;6;Biberach
08435;1;1;Bodenseekreis
08436;2;0;Ravensburg
08437;10;0;Sigmaringen
09161;10;3;Ingolstadt
09162;75;56;MÅnchen, Landeshauptstadt
09163;22;4;Rosenheim (Stadt)
09171;9;1;Altîtting
09172;3;1;Berchtesgadener Land
09173;3;1;Bad Tîlz-Wolfratshausen
09174;11;11;Dachau
09175;1;5;Ebersberg
09176;7;1;EichstÑtt
09177;8;0;Erding
09178;10;1;Freising
09179;9;7;FÅrstenfeldbruck
09180;5;1;Garmisch-Partenkirchen
09181;6;1;Landsberg am Lech
09182;0;1;Miesbach
09183;10;2;MÅhldorf a.Inn
09184;6;9;MÅnchen
09185;3;4;Neuburg-Schrobenhausen
09186;1;1;Pfaffenhofen a.d.Ilm
09187;35;38;Rosenheim (Kreis)
09188;3;1;Starnberg
09189;13;15;Traunstein
09190;7;0;Weilheim-Schongau
09261;5;0;Landshut
09262;1;0;Passau (Stadt)
09263;9;1;Straubing (Stadt)
09271;4;0;Deggendorf
09272;0;4;Freyung-Grafenau
09273;2;2;Kelheim
09274;9;2;Landshut
09275;9;6;Passau (Kreis)
09276;0;1;Regen
09277;2;2;Rottal-Inn
09278;8;3;Straubing-Bogen
09279;2;2;Dingolfing-Landau
09361;2;0;Amberg
09362;4;3;Regensburg (Stadt)
09363;3;4;Weiden i.d.OPf.
09371;13;0;Amberg-Sulzbach
09372;0;3;Cham
09373;9;0;Neumarkt i.d.OPf.
09374;14;10;Neustadt a.d.Waldnaab
09375;2;3;Regensburg (Kreis)
09376;9;0;Schwandorf
09377;1;1;Tirschenreuth
09461;1;1;Bamberg (Stadt)
09462;4;1;Bayreuth (Stadt)
09463;0;1;Coburg (Stadt)
09464;1;0;Hof (Stadt)
09471;3;0;Bamberg (Kreis)
09472;6;0;Bayreuth (Kreis)
09473;4;2;Coburg (Kreis)
09474;3;0;Forchheim
09475;4;1;Hof (Kreis)
09476;1;1;Kronach
09477;4;5;Kulmbach
09478;0;4;Lichtenfels
09479;9;1;Wunsiedel i.Fichtelgebirge
09561;2;4;Ansbach
09562;1;1;Erlangen
09563;5;3;FÅrth (Stadt)
09564;25;4;NÅrnberg
09565;1;0;Schwabach
09571;6;8;Ansbach
09572;1;0;Erlangen-Hîchstadt
09573;3;2;FÅrth (Land)
09574;15;1;NÅrnberger Land
09575;13;3;Neustadt a.d.Aisch-Bad Windsheim
09576;5;1;Roth
09577;0;3;Wei·enburg-Gunzenhausen
09661;1;0;Aschaffenburg (stadt)
09662;0;1;Schweinfurt(Stadt)
