43892	150	0
43893	188	0
43894	240	0
43895	349	0
43896	534	0
43897	639	0
43898	847	0
43899	1112	2
43900	1139	2
43901	1296	3
43902	1567	3
43903	2369	6
43904	3062	6
43905	3795	8
43906	4838	12
43907	8084	20
43908	9360	26
43909	12327	28
43910	18361	52
43911	21828	75
43912	23129	93
43913	24873	94
43914	30081	130
43915	33593	164
43916	39355	222
43917	50178	281
43918	53340	395
43919	58247	455
43920	62435	541
43921	68180	682
43922	74508	821
43923	81728	931
