Infecteddate written out from RKI dashboard;;;
AGS;28.03.2020;11.04.2020;25.04.2020
13071;58;102;109
13072;26;54;55
13073;33;73;76
13074;28;60;73
13075;56;108;128
13076;37;58;67
14511;89;172;196
14521;103;412;503
14522;98;227;249
14523;106;217;307
14524;327;614;741
14612;325;485;549
14625;168;278;346
14626;68;224;254
14627;70;174;215
14628;145;293;332
14713;280;476;548
14729;89;175;185
14730;37;106;135
15001;20;50;63
15002;135;255;309
15003;72;93;103
15081;12;28;31
15082;30;50;68
15083;49;87;132
15084;26;57;87
15085;44;141;234
15086;16;28;32
15087;16;35;36
15088;55;96;107
15089;37;58;62
15090;51;74;97
15091;66;137;152
16051;75;110;132
16052;19;50;134
16053;113;154;158
16054;6;11;13
16055;29;55;61
16056;4;12;16
16061;49;89;114
16062;12;33;56
16063;17;33;39
16064;10;52;70
16065;19;35;37
16066;31;55;90
16067;21;71;183
16068;22;32;36
16069;7;14;20
16070;54;101;120
16071;21;58;67
16072;20;49;89
16073;36;54;58
16074;27;50;55
16075;27;91;118
16076;112;233;389
16077;20;36;47
