Name	Status	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases
		count	count	count	count	count	count	count	count	incomplete
		28.02.2020	06.03.2020	13.03.2020	20.03.2020	27.03.2020	03.04.2020	10.04.2020	17.04.2020	22.04.2020
Miltenberg	County	0	0	1	23	71	150	204	238	246
MÅhldorf a. Inn	County	0	0	0	16	76	221	343	419	443
MÅnchen	County	1	5	26	150	424	747	988	1,106	1,135
MÅnchen Stadt	County-level City	4	18	119	841	2,06	3,428	4,341	4,964	5,182
Neuburg-Schrobenhausen	County	0	0	0	8	60	108	163	213	239
Neumarkt i.d. OPf.	County	0	0	2	25	65	131	194	257	292
Neustadt a.d. Aisch-Bad Windsheim	County	0	0	4	7	36	75	118	170	207
Neustadt a.d. Waldnaab	County	0	0	0	10	98	339	540	624	690
Neu-Ulm	County	0	2	3	28	101	210	305	385	397
NÅrnberg	County-level City	0	5	20	61	183	353	615	758	832
NÅrnberger Land	County	0	0	1	26	130	278	441	522	563
Oberallg?u	County	0	1	9	29	64	108	147	159	166
Ostallg?u	County	1	2	7	21	88	247	370	454	470
Passau	County	0	2	5	24	81	222	319	377	407
Passau Stadt	County-level City	0	0	1	6	27	62	97	115	116
Pfaffenhofen a.d. Ilm	County	0	0	6	22	61	175	257	295	311
Regen	County	0	0	3	23	40	70	119	133	144
Regensburg	County	0	0	8	47	108	204	316	368	378
Regensburg Stadt	County-level City	0	0	4	55	117	208	319	363	377
Rh?n-Grabfeld	County	0	0	2	9	31	59	102	132	147
Rosenheim	County	0	1	6	60	407	989	1,456	1,7	1,861
Rosenheim Stadt	County-level City	0	0	1	7	91	168	250	322	361
Roth	County	0	1	5	20	87	186	244	268	274
Rottal-Inn	County	0	0	6	51	169	369	588	656	686
Schwabach	County-level City	0	1	3	10	20	45	64	70	73
Schwandorf	County	0	0	7	23	73	210	333	385	416
Schweinfurt	County	0	0	3	25	73	177	315	362	397
Schweinfurt Stadt	County-level City	0	0	0	4	19	66	106	132	140
